substitution_id,original_part_id,substitute_part_id,compatibility_scope,approval_status,approval_date,limited_compatibility_flag,compatibility_notes
SUB-005116,CB-945,CB-364,All Platforms,Approved with Limited Compatibility,2023-08-10,True,
SUB-005117,HY-944,HY-489,All Platforms,Approved,2024-04-01,False,
SUB-005118,HY-944,HY-1207,Tillage,Approved with Limited Compatibility,2023-01-28,True,
SUB-005119,EN-1321,EN-755,Sprayer,Approved,2024-11-28,False,
SUB-005120,EN-1321,EN-430,Sprayer,Approved,2023-12-02,False,
SUB-005121,CH-546,CH-1293,Combine,Approved with Limited Compatibility,2025-07-03,True,
SUB-005122,CH-546,CH-982,Tractor,Approved with Limited Compatibility,2024-01-22,True,
SUB-005123,BR-1345,BR-586,Tillage,Pending,2024-11-30,False,
SUB-005124,EN-699,EN-109,Combine,Approved,2025-09-23,False,
SUB-005125,EC-902,EC-1125,Baler,Approved,2024-06-17,False,
SUB-005126,EC-902,EC-447,Harvester,Approved,2025-01-27,False,
SUB-005127,EC-902,EC-810,Tillage,Pending,2024-03-12,False,
SUB-005128,EC-902,EC-1101,Baler,Approved,2025-02-22,False,
SUB-005129,FT-808,FT-419,Tillage,Pending,2024-04-06,False,
SUB-005130,EC-395,EC-449,Tractor,Approved with Limited Compatibility,2024-07-26,True,
SUB-005131,EC-395,EC-286,Sprayer,Approved,2024-10-20,False,
SUB-005132,FT-1206,FT-418,Planter,Approved with Limited Compatibility,2023-09-17,True,
SUB-005133,FT-1206,FT-1108,Sprayer,Approved,2024-07-05,False,
SUB-005134,TR-822,TR-1331,Combine,Approved,2024-12-10,False,
SUB-005135,BR-1165,BR-820,Tractor,Approved with Limited Compatibility,2024-09-29,True,
SUB-005136,BR-1165,BR-109,Tillage,Approved,2024-07-14,False,
SUB-005137,FT-616,FT-934,All Platforms,Pending,2025-07-29,False,
SUB-005138,EN-1105,EN-103,Planter,Pending,2025-08-28,False,
SUB-005139,EN-1105,EN-1153,All Platforms,Pending,2023-02-08,False,
SUB-005140,EN-1105,EN-680,Tractor,Approved,2024-10-20,False,
SUB-005141,EN-1105,EN-307,Tractor,Approved,2024-12-18,False,
SUB-005142,EN-293,EN-750,Sprayer,Approved,2024-12-18,False,
SUB-005143,EN-293,EN-860,Baler,Approved,2025-04-21,False,
SUB-005144,EC-987,EC-426,Baler,Approved,2025-07-13,False,
SUB-005145,EC-987,EC-1124,Combine,Approved,,False,
SUB-005146,EC-987,EC-1336,Planter,Approved,2024-06-25,False,
SUB-005147,EC-987,EC-1153,All Platforms,Approved with Limited Compatibility,,True,
SUB-005148,CB-125,CB-924,Tillage,Approved,2024-05-04,False,
SUB-005149,CB-125,CB-660,Harvester,Rejected,2024-01-17,False,
SUB-005150,CB-125,CB-540,Tillage,Pending,2023-12-11,False,
SUB-005151,CB-125,CB-500,Combine,Approved,2024-02-23,False,
SUB-005152,TR-337,TR-1056,Planter,Approved,2024-02-04,False,
SUB-005153,FT-584,FT-179,Harvester,Approved,2023-07-19,False,
SUB-005154,EC-287,EC-451,Planter,Approved,2023-08-04,False,
SUB-005155,EC-287,EC-687,Tractor,Pending,2024-08-28,False,
SUB-005156,FL-903,FL-202,Planter,Rejected,2024-02-24,False,
SUB-005157,SC-880,SC-1023,Tractor,Pending,2025-01-27,False,
SUB-005158,FT-274,FT-578,Tractor,Approved,2025-09-12,False,
SUB-005159,FT-274,FT-565,Sprayer,Pending,,False,
SUB-005160,FT-274,FT-248,Tractor,Approved,2025-01-21,False,
SUB-005161,FL-507,FL-776,Tillage,Approved with Limited Compatibility,2023-11-16,True,
SUB-005162,TR-809,TR-1097,Baler,Approved with Limited Compatibility,2024-07-10,True,
SUB-005163,TR-809,TR-427,All Platforms,Pending,2024-04-23,False,
SUB-005164,TR-809,TR-668,Combine,Approved with Limited Compatibility,2025-05-23,True,
SUB-005165,TR-809,TR-184,Planter,Approved,2025-07-29,False,
SUB-005166,SC-914,SC-239,Baler,Approved with Limited Compatibility,2024-12-18,True,
SUB-005167,EN-177,EN-371,Sprayer,Approved with Limited Compatibility,2025-09-13,True,
SUB-005168,EN-177,EN-722,Combine,Pending,2025-04-09,False,
SUB-005169,EN-177,EN-1106,Planter,Approved,2023-12-01,False,
SUB-005170,CB-1318,CB-797,Combine,Pending,2024-05-28,False,
SUB-005171,CB-1318,CB-1031,Tillage,Approved,2023-02-18,False,
SUB-005172,CB-1318,CB-1349,Harvester,Pending,2023-01-05,False,
SUB-005173,ST-1079,ST-554,Planter,Approved with Limited Compatibility,2023-03-29,True,
SUB-005174,FT-1076,FT-993,Harvester,Rejected,2025-03-04,False,
SUB-005175,FT-1076,FT-243,Combine,Pending,2024-02-24,False,
SUB-005176,FT-1076,FT-120,Tractor,Approved with Limited Compatibility,2024-07-07,True,
SUB-005177,FT-1076,FT-1284,All Platforms,Approved,,False,
SUB-005178,SC-299,SC-1276,Sprayer,Approved,2025-05-06,False,
SUB-005179,FT-991,FT-313,Planter,Approved,2025-09-15,False,
SUB-005180,EL-505,EL-789,Baler,Approved,2025-04-29,False,
SUB-005181,EL-154,EL-1243,Baler,Approved,2024-12-16,False,
SUB-005182,CH-1202,CH-128,Baler,Approved with Limited Compatibility,2024-04-12,True,
SUB-005183,FL-985,FL-416,Harvester,Rejected,2023-11-08,False,
SUB-005184,FL-985,FL-646,Sprayer,Approved,2023-07-30,False,
SUB-005185,ST-879,ST-1167,All Platforms,Approved,2024-03-20,False,
SUB-005186,ST-879,ST-948,Sprayer,Approved,2024-05-04,False,
SUB-005187,FL-861,FL-571,All Platforms,Approved,2025-01-02,False,
SUB-005188,FL-898,FL-1287,Baler,Approved with Limited Compatibility,2023-06-15,True,
SUB-005189,FL-898,FL-916,Tractor,Approved,2024-03-16,False,
SUB-005190,FL-898,FL-306,Planter,Approved with Limited Compatibility,2024-01-31,True,
SUB-005191,BR-367,BR-610,Baler,Approved,2024-01-08,False,
SUB-005192,BR-754,BR-881,Planter,Approved,2023-04-23,False,
SUB-005193,CB-1063,CB-973,Sprayer,Approved,2024-10-04,False,
SUB-005194,CB-1063,CB-1174,Planter,Pending,2023-07-29,False,
SUB-005195,CB-1063,CB-717,All Platforms,Approved,2024-05-27,False,
SUB-005196,CB-1063,CB-787,All Platforms,Approved with Limited Compatibility,,True,
SUB-005197,EN-1227,EN-717,Baler,Approved,2024-12-03,False,
SUB-005198,EN-1227,EN-727,Baler,Pending,2025-03-11,False,
SUB-005199,FL-504,FL-550,Sprayer,Approved with Limited Compatibility,2025-03-16,True,
SUB-005200,FL-504,FL-168,Tillage,Approved,2023-12-20,False,
SUB-005201,CB-998,CB-1137,Combine,Approved,,False,
SUB-005202,CB-998,CB-372,Tillage,Approved with Limited Compatibility,2024-09-02,True,
SUB-005203,CB-998,CB-1210,Baler,Pending,2024-07-16,False,
SUB-005204,EC-225,EC-570,Tractor,Approved,2025-02-16,False,
SUB-005205,EC-225,EC-765,Harvester,Approved with Limited Compatibility,2024-05-16,True,
SUB-005206,EC-225,EC-993,Harvester,Approved,2023-01-15,False,
SUB-005207,SC-432,SC-1071,Tractor,Rejected,2024-09-05,False,
SUB-005208,SC-432,SC-745,Baler,Approved with Limited Compatibility,,True,
SUB-005209,SC-432,SC-1297,Planter,Approved,2025-02-25,False,
SUB-005210,SC-432,SC-817,Sprayer,Approved with Limited Compatibility,2024-12-12,True,
SUB-005211,ST-567,ST-1000,Combine,Approved,2024-09-23,False,
SUB-005212,TR-1072,TR-1285,Sprayer,Pending,2025-08-31,False,
SUB-005213,TR-1072,TR-1021,Planter,Approved with Limited Compatibility,2024-05-29,True,
SUB-005214,TR-1072,TR-1030,Tillage,Approved,2024-09-29,False,
SUB-005215,TR-1072,TR-677,Tillage,Approved,2025-03-20,False,
SUB-005216,EL-294,EL-512,Harvester,Approved,2024-01-31,False,
SUB-005217,EL-294,EL-1190,Tractor,Approved with Limited Compatibility,2025-08-27,True,
SUB-005218,EL-294,EL-120,Sprayer,Pending,2024-10-09,False,
SUB-005219,EL-294,EL-513,Sprayer,Pending,2025-02-21,False,
SUB-005220,EC-1097,EC-893,Tractor,Approved with Limited Compatibility,2023-09-30,True,
SUB-005221,EC-1097,EC-358,Planter,Rejected,2024-04-08,False,
SUB-005222,EC-1097,EC-1268,Harvester,Approved,2024-10-24,False,
SUB-005223,FT-821,FT-258,Harvester,Approved,2024-06-17,False,
SUB-005224,CH-205,CH-1265,Tractor,Approved,2025-05-03,False,
SUB-005225,CH-205,CH-893,Tractor,Approved,2025-03-22,False,
SUB-005226,CH-205,CH-1223,Baler,Pending,2025-09-12,False,
SUB-005227,EL-795,EL-1174,All Platforms,Approved with Limited Compatibility,2025-06-21,True,
SUB-005228,EL-795,EL-1262,Sprayer,Pending,2023-10-11,False,
SUB-005229,ST-352,ST-665,Harvester,Approved with Limited Compatibility,2025-09-26,True,
SUB-005230,ST-352,ST-1181,All Platforms,Approved with Limited Compatibility,2025-06-15,True,
SUB-005231,ST-352,ST-531,Baler,Approved,2025-06-21,False,
SUB-005232,BR-227,BR-773,Combine,Approved,2025-02-09,False,
SUB-005233,BR-227,BR-815,All Platforms,Approved with Limited Compatibility,2024-01-12,True,
SUB-005234,BR-227,BR-596,All Platforms,Rejected,2024-04-07,False,
SUB-005235,CB-978,CB-1064,Combine,Approved,2025-06-29,False,
SUB-005236,CB-978,CB-638,Tractor,Approved,2023-06-29,False,
SUB-005237,BR-562,BR-584,Harvester,Pending,2025-04-16,False,
SUB-005238,BR-562,BR-1031,Tillage,Approved,2024-01-30,False,
SUB-005239,BR-562,BR-533,All Platforms,Approved,2023-09-10,False,
SUB-005240,BR-562,BR-258,Planter,Approved,,False,
SUB-005241,ST-246,ST-597,Sprayer,Rejected,2024-03-26,False,
SUB-005242,ST-246,ST-1113,Combine,Pending,2024-12-20,False,
SUB-005243,ST-693,ST-666,All Platforms,Approved,2025-07-14,False,
SUB-005244,ST-693,ST-1246,Tillage,Rejected,2025-03-24,False,
SUB-005245,ST-693,ST-441,Tractor,Approved,2023-09-07,False,
SUB-005246,SC-162,SC-666,Planter,Approved,2023-11-10,False,
SUB-005247,SC-162,SC-1320,Tractor,Approved,2024-02-25,False,
SUB-005248,SC-162,SC-491,Harvester,Approved with Limited Compatibility,2024-01-29,True,
SUB-005249,SC-162,SC-1204,Combine,Rejected,2024-07-08,False,
SUB-005250,FT-1145,FT-669,Planter,Approved,,False,
SUB-005251,FT-1145,FT-660,Harvester,Approved,,False,
SUB-005252,FT-1145,FT-589,All Platforms,Approved,2025-07-20,False,
SUB-005253,CB-442,CB-1108,Baler,Approved with Limited Compatibility,2025-02-19,True,
SUB-005254,FL-1031,FL-674,Sprayer,Approved,2024-10-30,False,
SUB-005255,FL-1031,FL-218,Planter,Pending,2025-06-07,False,
SUB-005256,FL-1031,FL-1308,Planter,Approved,2025-06-11,False,
SUB-005257,FL-1031,FL-1252,Tractor,Approved with Limited Compatibility,2024-12-31,True,
SUB-005258,FL-1005,FL-794,Combine,Approved,2023-09-16,False,
SUB-005259,FL-1005,FL-409,Baler,Approved,2024-02-06,False,
SUB-005260,FL-1005,FL-1004,Harvester,Rejected,2024-11-25,False,
SUB-005261,FL-1005,FL-941,Sprayer,Approved,2023-11-07,False,
SUB-005262,HY-491,HY-271,All Platforms,Rejected,2023-02-27,False,
SUB-005263,HY-491,HY-581,All Platforms,Approved,2024-04-04,False,
SUB-005264,HY-491,HY-272,Tractor,Approved with Limited Compatibility,2023-07-15,True,
SUB-005265,HY-491,HY-1263,Harvester,Approved,2023-06-08,False,
SUB-005266,SC-475,SC-248,Planter,Approved,2023-12-02,False,
SUB-005267,SC-702,SC-927,Sprayer,Approved,2023-09-02,False,
SUB-005268,BR-1303,BR-327,Baler,Approved,2024-12-08,False,
SUB-005269,BR-1303,BR-707,All Platforms,Approved,2025-01-19,False,
SUB-005270,BR-1303,BR-1129,Tillage,Approved with Limited Compatibility,2024-05-12,True,
SUB-005271,BR-1303,BR-997,Sprayer,Approved,2024-07-31,False,
SUB-005272,EL-879,EL-908,Baler,Approved with Limited Compatibility,2023-04-11,True,
SUB-005273,EN-868,EN-452,Planter,Approved with Limited Compatibility,2024-12-13,True,
SUB-005274,FL-931,FL-573,Planter,Approved with Limited Compatibility,2024-08-12,True,
SUB-005275,CH-260,CH-659,All Platforms,Approved with Limited Compatibility,2024-03-10,True,
SUB-005276,CH-260,CH-315,Harvester,Rejected,2023-01-12,False,
SUB-005277,BR-233,BR-321,Baler,Pending,2024-05-13,False,
SUB-005278,BR-233,BR-1172,Sprayer,Rejected,,False,
SUB-005279,ST-449,ST-828,Sprayer,Approved,2025-01-07,False,
SUB-005280,ST-449,ST-1175,All Platforms,Approved,2025-01-30,False,
SUB-005281,ST-449,ST-929,Tillage,Approved,2023-11-22,False,
SUB-005282,ST-449,ST-737,Tillage,Approved,2025-05-04,False,
SUB-005283,CB-1215,CB-185,Combine,Approved,2025-03-29,False,
SUB-005284,EL-205,EL-656,All Platforms,Approved,2024-03-22,False,
SUB-005285,EL-205,EL-1195,Baler,Approved,2024-03-24,False,
SUB-005286,EL-205,EL-710,Baler,Rejected,2023-01-10,False,
SUB-005287,FT-600,FT-534,Tillage,Rejected,2023-01-11,False,
SUB-005288,FT-600,FT-358,Harvester,Approved,2023-12-26,False,
SUB-005289,CB-861,CB-798,Combine,Approved,2024-12-03,False,
SUB-005290,CB-861,CB-749,Sprayer,Approved with Limited Compatibility,2025-05-31,True,
SUB-005291,TR-564,TR-1094,Planter,Rejected,2024-04-22,False,
SUB-005292,TR-564,TR-893,Harvester,Approved,2023-01-22,False,
SUB-005293,TR-564,TR-1191,Sprayer,Approved,2024-11-08,False,
SUB-005294,TR-564,TR-307,All Platforms,Pending,2024-07-14,False,
SUB-005295,CB-472,CB-1037,Tractor,Rejected,2024-09-23,False,
SUB-005296,CB-472,CB-891,Harvester,Approved,2025-03-01,False,
SUB-005297,TR-1013,TR-989,Harvester,Approved,2025-06-26,False,
SUB-005298,TR-1013,TR-1219,Harvester,Approved,2023-08-24,False,
SUB-005299,TR-1013,TR-1166,Tractor,Approved with Limited Compatibility,2023-08-18,True,
SUB-005300,BR-265,BR-933,Sprayer,Approved,2024-06-27,False,
SUB-005301,CB-1253,CB-822,Combine,Rejected,2024-04-24,False,
SUB-005302,CB-1253,CB-758,All Platforms,Approved,2024-05-25,False,
SUB-005303,SC-861,SC-1187,Combine,Approved,2023-05-17,False,
SUB-005304,SC-172,SC-166,Tillage,Approved with Limited Compatibility,2023-02-16,True,
SUB-005305,SC-172,SC-821,Baler,Approved,2025-09-09,False,
SUB-005306,SC-172,SC-400,Tractor,Pending,2025-04-10,False,
SUB-005307,EN-413,EN-559,Harvester,Approved with Limited Compatibility,2023-07-09,True,
SUB-005308,EN-413,EN-412,All Platforms,Approved with Limited Compatibility,2023-11-11,True,
SUB-005309,EN-413,EN-862,Sprayer,Rejected,2023-09-28,False,
SUB-005310,EL-484,EL-486,Baler,Approved,2024-01-21,False,
SUB-005311,TR-815,TR-400,Harvester,Approved,2023-06-03,False,
SUB-005312,HY-999,HY-418,Tractor,Approved with Limited Compatibility,2024-12-11,True,
SUB-005313,HY-999,HY-959,Tillage,Approved,2025-03-20,False,
SUB-005314,EL-508,EL-1151,Combine,Approved with Limited Compatibility,2025-07-28,True,
SUB-005315,EL-508,EL-902,Harvester,Approved with Limited Compatibility,2023-02-19,True,
SUB-005316,EL-508,EL-1253,Tractor,Approved,2023-11-04,False,
SUB-005317,HY-1282,HY-783,Harvester,Approved with Limited Compatibility,2024-09-17,True,
SUB-005318,BR-236,BR-177,Harvester,Approved,2025-07-09,False,
SUB-005319,BR-236,BR-605,Tillage,Approved,2023-07-11,False,
SUB-005320,BR-236,BR-1225,Tillage,Approved,2024-08-10,False,
SUB-005321,HY-735,HY-271,Tillage,Approved,2025-07-28,False,
SUB-005322,HY-735,HY-1080,Tractor,Approved with Limited Compatibility,2024-08-02,True,
SUB-005323,HY-735,HY-276,Planter,Pending,2024-07-11,False,
SUB-005324,CB-1332,CB-932,Harvester,Approved,2024-09-25,False,
SUB-005325,CB-1332,CB-789,Tractor,Approved,2023-08-28,False,
SUB-005326,CB-1332,CB-756,Combine,Approved,2024-05-26,False,
SUB-005327,CB-1332,CB-753,Tractor,Rejected,2025-09-21,False,
SUB-005328,EL-1084,EL-416,Combine,Approved,2024-11-30,False,
SUB-005329,EL-1084,EL-308,Baler,Rejected,2023-08-28,False,
SUB-005330,EL-1084,EL-710,Tillage,Approved with Limited Compatibility,2024-12-11,True,
SUB-005331,EC-410,EC-346,Planter,Pending,2025-05-24,False,
SUB-005332,EC-410,EC-1348,Baler,Approved,2024-05-20,False,
SUB-005333,CH-610,CH-536,Tillage,Approved,2024-06-10,False,
SUB-005334,BR-1274,BR-869,All Platforms,Approved,2024-01-14,False,
SUB-005335,BR-1274,BR-575,Combine,Approved with Limited Compatibility,2023-06-30,True,
SUB-005336,TR-1326,TR-263,Combine,Approved with Limited Compatibility,,True,
SUB-005337,TR-1326,TR-754,Tractor,Approved,2023-08-01,False,
SUB-005338,TR-1326,TR-419,Sprayer,Approved,2023-09-23,False,
SUB-005339,FL-639,FL-1162,Tillage,Approved with Limited Compatibility,2025-06-05,True,
SUB-005340,FL-639,FL-226,Baler,Approved,2024-08-22,False,
SUB-005341,EN-826,EN-669,Tillage,Pending,2023-08-26,False,
SUB-005342,EN-826,EN-845,Tractor,Approved,2023-06-15,False,
SUB-005343,EN-826,EN-1006,Tillage,Approved,2025-07-21,False,
SUB-005344,EN-826,EN-963,Sprayer,Approved,2024-02-07,False,
SUB-005345,BR-645,BR-338,Baler,Approved,2023-07-16,False,
SUB-005346,FL-415,FL-735,Harvester,Approved with Limited Compatibility,,True,
SUB-005347,FL-415,FL-1231,Combine,Approved,2023-06-03,False,
SUB-005348,FL-415,FL-1339,Sprayer,Approved,2024-03-21,False,
SUB-005349,FL-415,FL-120,Tractor,Pending,2023-04-26,False,
SUB-005350,BR-467,BR-854,Combine,Approved with Limited Compatibility,2024-04-03,True,
SUB-005351,BR-467,BR-807,Sprayer,Rejected,2023-12-30,False,
SUB-005352,BR-467,BR-1108,Combine,Approved with Limited Compatibility,2023-12-07,True,
SUB-005353,BR-467,BR-840,Combine,Approved with Limited Compatibility,2025-07-02,True,
SUB-005354,SC-636,SC-185,All Platforms,Approved,2023-07-13,False,
SUB-005355,SC-636,SC-957,All Platforms,Approved,2023-01-30,False,
SUB-005356,TR-1119,TR-849,Sprayer,Approved,2025-09-21,False,
SUB-005357,EL-1287,EL-719,Tillage,Approved,2025-06-26,False,
SUB-005358,EL-1287,EL-237,Baler,Approved with Limited Compatibility,2025-04-19,True,
SUB-005359,EN-1332,EN-1036,Tractor,Approved,,False,
SUB-005360,EN-618,EN-155,Planter,Approved with Limited Compatibility,2023-02-22,True,
SUB-005361,CB-858,CB-593,Harvester,Approved,2023-08-08,False,
SUB-005362,SC-309,SC-386,Tractor,Approved with Limited Compatibility,2023-10-30,True,
SUB-005363,SC-309,SC-886,Sprayer,Approved,2024-10-02,False,
SUB-005364,EL-331,EL-172,Harvester,Approved with Limited Compatibility,2025-08-07,True,
SUB-005365,EL-331,EL-1318,All Platforms,Approved,2023-02-12,False,
SUB-005366,EL-331,EL-1173,Harvester,Approved,2023-12-18,False,
SUB-005367,EC-1238,EC-933,Planter,Pending,2025-05-28,False,
SUB-005368,EL-1089,EL-106,All Platforms,Approved,2023-04-20,False,
SUB-005369,EL-1089,EL-821,Tractor,Rejected,2023-11-11,False,
SUB-005370,EL-1089,EL-1246,Sprayer,Approved,2023-09-17,False,
SUB-005371,EL-1089,EL-489,Baler,Pending,2025-05-11,False,
SUB-005372,FT-1192,FT-528,Planter,Approved with Limited Compatibility,2023-10-23,True,
SUB-005373,FT-1192,FT-1085,Combine,Rejected,2023-06-24,False,
SUB-005374,FT-1192,FT-261,Tillage,Approved,2025-01-04,False,
SUB-005375,FL-946,FL-847,Baler,Rejected,2024-04-29,False,
SUB-005376,FL-946,FL-447,All Platforms,Rejected,2023-02-06,False,
SUB-005377,CB-962,CB-1213,Combine,Approved,2023-06-11,False,
SUB-005378,FT-1325,FT-721,Tractor,Pending,2023-11-04,False,
SUB-005379,FT-1325,FT-205,Tillage,Approved,2023-04-16,False,
SUB-005380,FT-928,FT-1319,Tractor,Approved with Limited Compatibility,2023-03-23,True,
SUB-005381,FT-928,FT-697,Tillage,Pending,2023-02-18,False,
SUB-005382,CH-308,CH-1185,Tillage,Approved,2025-09-05,False,
SUB-005383,CH-308,CH-908,Sprayer,Approved,2025-03-04,False,
SUB-005384,BR-892,BR-244,Tractor,Pending,2024-02-21,False,
SUB-005385,FL-1339,FL-411,Sprayer,Approved,2024-10-20,False,
SUB-005386,FL-1339,FL-555,Tractor,Approved with Limited Compatibility,2024-10-05,True,
SUB-005387,FL-1339,FL-520,Planter,Approved,2023-10-31,False,
SUB-005388,FL-1339,FL-621,Combine,Approved,2025-08-16,False,
SUB-005389,EN-1341,EN-368,Harvester,Pending,2025-01-01,False,
SUB-005390,ST-480,ST-290,Combine,Pending,2024-06-23,False,
SUB-005391,SC-460,SC-789,All Platforms,Pending,2024-08-09,False,
SUB-005392,HY-693,HY-1096,Sprayer,Approved with Limited Compatibility,2025-06-09,True,
SUB-005393,HY-693,HY-267,Planter,Approved,2025-01-20,False,
SUB-005394,HY-693,HY-140,Planter,Rejected,2025-07-02,False,
SUB-005395,SC-1061,SC-369,Tillage,Approved,2024-08-14,False,
SUB-005396,SC-1061,SC-727,Sprayer,Approved with Limited Compatibility,2023-11-24,True,
SUB-005397,SC-1061,SC-909,Tractor,Approved,2024-08-30,False,
SUB-005398,EN-1284,EN-710,Tractor,Approved,2023-02-26,False,
SUB-005399,EN-1284,EN-349,Baler,Approved,2023-09-10,False,
SUB-005400,EN-1284,EN-1022,Tractor,Approved,2024-02-23,False,
SUB-005401,EN-1284,EN-531,Harvester,Approved,2024-08-31,False,
SUB-005402,EC-491,EC-996,Baler,Approved with Limited Compatibility,2025-07-19,True,
SUB-005403,EC-491,EC-558,Tillage,Approved with Limited Compatibility,2024-09-04,True,
SUB-005404,EC-491,EC-177,Sprayer,Approved with Limited Compatibility,2023-03-18,True,
SUB-005405,HY-225,HY-926,Planter,Approved,2025-09-11,False,
SUB-005406,HY-225,HY-196,Sprayer,Approved,2025-01-25,False,
SUB-005407,HY-367,HY-1204,Planter,Approved with Limited Compatibility,2024-08-26,True,
SUB-005408,HY-367,HY-1224,Combine,Approved,2024-06-19,False,
SUB-005409,FL-711,FL-814,Tractor,Rejected,2023-07-26,False,
SUB-005410,FL-711,FL-963,Harvester,Approved,2023-07-27,False,
SUB-005411,FL-711,FL-477,Sprayer,Pending,2023-09-16,False,
SUB-005412,FL-711,FL-606,Tractor,Rejected,2025-09-19,False,
SUB-005413,EN-1143,EN-923,Harvester,Approved,2024-09-10,False,
SUB-005414,EN-1143,EN-762,Combine,Pending,2025-04-25,False,
SUB-005415,SC-254,SC-156,Planter,Rejected,2023-10-23,False,
SUB-005416,SC-254,SC-681,All Platforms,Approved with Limited Compatibility,2023-07-29,True,
SUB-005417,CB-1337,CB-140,Tillage,Approved,2024-12-31,False,
SUB-005418,EL-1073,EL-1237,Baler,Approved,2025-01-25,False,
SUB-005419,EL-1073,EL-1274,Harvester,Approved with Limited Compatibility,2024-01-30,True,
SUB-005420,EL-1073,EL-1011,Sprayer,Approved,2024-09-09,False,
SUB-005421,EL-1073,EL-515,Harvester,Rejected,2025-07-09,False,
SUB-005422,CH-486,CH-527,Combine,Approved,2024-08-07,False,
SUB-005423,CH-486,CH-257,Sprayer,Approved,2023-10-20,False,
SUB-005424,CH-486,CH-1015,Tractor,Approved,2023-11-12,False,
SUB-005425,CH-486,CH-1261,All Platforms,Approved,2024-06-17,False,
SUB-005426,ST-186,ST-639,Planter,Rejected,2023-02-17,False,
SUB-005427,ST-186,ST-847,Tractor,Approved with Limited Compatibility,,True,
SUB-005428,ST-186,ST-1085,Harvester,Approved,2024-10-24,False,
SUB-005429,SC-664,SC-1018,Planter,Pending,2024-07-31,False,
SUB-005430,SC-664,SC-821,Tillage,Rejected,2024-07-05,False,
SUB-005431,SC-664,SC-1056,Harvester,Approved,2024-04-05,False,
SUB-005432,BR-310,BR-726,Sprayer,Approved,2025-01-02,False,
SUB-005433,EC-817,EC-1147,Tillage,Approved,2025-03-29,False,
SUB-005434,EC-817,EC-274,All Platforms,Rejected,2023-03-25,False,
SUB-005435,EC-817,EC-397,All Platforms,Approved,2025-03-02,False,
SUB-005436,EC-817,EC-326,Planter,Approved,2025-05-10,False,
SUB-005437,EN-1333,EN-655,Sprayer,Approved,2023-09-20,False,
SUB-005438,EN-1333,EN-971,Planter,Pending,2025-02-22,False,
SUB-005439,EN-1102,EN-209,Harvester,Approved,2024-08-04,False,
SUB-005440,EN-1102,EN-504,Combine,Pending,2025-08-09,False,
SUB-005441,EN-1102,EN-700,All Platforms,Approved,2025-05-07,False,
SUB-005442,EN-1102,EN-657,Tillage,Approved,2023-03-07,False,
SUB-005443,EN-189,EN-302,Tillage,Pending,,False,
SUB-005444,FT-1189,FT-446,Tractor,Pending,2023-10-19,False,
SUB-005445,TR-1298,TR-898,Baler,Pending,2024-10-29,False,
SUB-005446,TR-1298,TR-237,Harvester,Approved with Limited Compatibility,2024-11-15,True,
SUB-005447,HY-324,HY-190,Sprayer,Pending,2025-01-06,False,
SUB-005448,HY-324,HY-641,Baler,Approved with Limited Compatibility,2024-01-10,True,
SUB-005449,HY-324,HY-627,Harvester,Rejected,2023-12-06,False,
SUB-005450,HY-324,HY-923,All Platforms,Approved with Limited Compatibility,2023-04-27,True,
SUB-005451,EN-170,EN-113,Harvester,Approved,2024-04-08,False,
SUB-005452,EN-170,EN-634,Planter,Pending,2023-04-22,False,
SUB-005453,EN-170,EN-753,Planter,Pending,2025-04-12,False,
SUB-005454,EN-1010,EN-431,Baler,Pending,2023-06-01,False,
SUB-005455,CH-980,CH-809,All Platforms,Approved,2024-08-06,False,
SUB-005456,CH-980,CH-1051,Combine,Approved,2023-04-14,False,
SUB-005457,CH-980,CH-302,Tillage,Approved with Limited Compatibility,2023-05-23,True,
SUB-005458,EC-506,EC-1161,Tractor,Approved,2024-07-16,False,
SUB-005459,EC-506,EC-202,Harvester,Approved with Limited Compatibility,2025-08-04,True,
SUB-005460,EC-506,EC-804,Sprayer,Approved,2023-07-18,False,
SUB-005461,FT-1247,FT-396,Tillage,Rejected,2023-08-03,False,
SUB-005462,CB-544,CB-138,Combine,Pending,2024-11-14,False,
SUB-005463,CB-544,CB-645,Sprayer,Approved,2023-08-03,False,
SUB-005464,BR-386,BR-489,Harvester,Pending,2025-03-19,False,
SUB-005465,BR-386,BR-1167,Planter,Approved,2023-12-24,False,
SUB-005466,EN-216,EN-438,Tillage,Approved with Limited Compatibility,,True,
SUB-005467,EN-216,EN-1171,Sprayer,Approved,2023-11-02,False,
SUB-005468,EN-216,EN-931,Baler,Approved,2023-02-21,False,
SUB-005469,FT-567,FT-784,Tillage,Approved,,False,
SUB-005470,FT-567,FT-480,All Platforms,Pending,2024-11-08,False,
SUB-005471,ST-1061,ST-1331,Tractor,Approved with Limited Compatibility,2024-04-07,True,
SUB-005472,ST-1061,ST-238,Sprayer,Approved,2024-05-19,False,
SUB-005473,ST-1061,ST-1014,Tillage,Approved,2024-03-21,False,
SUB-005474,CH-1099,CH-166,Tractor,Approved,2023-08-13,False,
SUB-005475,FL-918,FL-114,Planter,Approved with Limited Compatibility,2024-08-18,True,
SUB-005476,EL-831,EL-108,Tractor,Rejected,2023-01-19,False,
SUB-005477,EL-831,EL-164,Combine,Approved with Limited Compatibility,2024-06-13,True,
SUB-005478,ST-1261,ST-817,Baler,Rejected,2025-07-04,False,
