lane_id,origin_country,destination_plant_id,mode,period,avg_lead_time_days,risk_score,cost_index
LANE-011229,Vietnam,P12,Ocean,2025-09,33,Low,0.86
LANE-000610,United States,P9,Truck,2026-04,3,Low,1.15
LANE-002350,Germany,P8,Rail,2026-06,14,Low,1.18
LANE-006078,Brazil,P8,Truck,2025-06,4,Medium,1.15
LANE-006690,Japan,P3,Ocean,2025-02,24,Medium,0.84
LANE-002383,Germany,P8,Air,2025-07,3,Low,3.94
LANE-000482,United States,P7,Rail,2026-08,8,Medium,1.17
LANE-015880,Thailand,P11,Ocean,2026-06,19,High,0.45
LANE-009063,Italy,P8,Truck,2026-09,5,Low,1.32
LANE-015447,Thailand,P6,Ocean,2025-03,23,High,0.58
LANE-015549,Thailand,P7,Ocean,2026-05,26,Low,0.46
LANE-013414,Spain,P4,Rail,2026-04,11,Low,1.07
LANE-016460,United Kingdom,P6,Ocean,2025-04,28,Low,0.8
LANE-016357,United Kingdom,P5,Rail,2025-11,11,Medium,0.88
LANE-014726,Czech Republic,P9,Truck,2025-08,5,Medium,1.25
LANE-000063,United States,P2,Truck,2026-07,1,Low,1.14
LANE-011891,Canada,P9,Truck,2025-11,5,Low,1.02
LANE-013577,Spain,P6,Ocean,2025-03,30,Low,0.68
LANE-002588,Germany,P11,Ocean,2026-02,25,Low,0.82
LANE-015571,Thailand,P7,Air,2026-05,3,Low,2.49
LANE-015460,Thailand,P6,Ocean,2026-04,21,High,
LANE-006580,Japan,P2,Truck,2025-02,4,Medium,1.56
LANE-012387,France,P3,Truck,2025-01,5,Medium,
LANE-007204,Japan,P9,Rail,2025-10,13,Low,
LANE-014120,Czech Republic,P1,Rail,2026-06,10,Low,1.05
LANE-015619,Thailand,P8,Rail,2026-09,7,Low,1.17
LANE-002305,Germany,P7,Ocean,2026-05,33,Medium,0.84
LANE-003423,China,P9,Ocean,2026-01,27,Low,0.73
LANE-006588,Japan,P2,Truck,2025-10,6,Medium,1.21
LANE-009444,Turkey,P1,Air,2025-06,3,High,3.53
LANE-010142,Turkey,P10,Ocean,2026-10,28,Medium,0.54
LANE-010829,Vietnam,P7,Rail,2025-05,13,Low,1.26
LANE-012352,France,P2,Rail,2025-10,10,Low,1.16
LANE-005224,Poland,P9,Truck,2025-10,5,Low,1.06
LANE-014888,Czech Republic,P10,Air,2026-04,2,Low,
LANE-014665,Czech Republic,P8,Rail,2026-01,8,Medium,1.24
LANE-015001,Czech Republic,P12,Rail,2026-07,10,Medium,0.77
LANE-008625,Italy,P3,Truck,2025-01,5,Low,1.31
LANE-008129,South Korea,P9,Truck,2025-11,5,Medium,1.46
LANE-001831,Germany,P1,Truck,2025-05,5,Low,1.04
LANE-008190,South Korea,P9,Air,2025-06,2,Low,2.67
LANE-002190,Germany,P6,Truck,2025-12,4,Low,1.49
LANE-014417,Czech Republic,P5,Rail,2025-07,16,Low,0.98
LANE-007375,Japan,P11,Ocean,2025-05,26,Low,0.58
LANE-016911,United Kingdom,P12,Truck,2026-03,4,High,0.86
LANE-014905,Czech Republic,P11,Truck,2025-11,4,Medium,0.8
LANE-001287,Mexico,P6,Rail,2025-11,10,Low,0.73
LANE-003341,China,P8,Rail,2026-07,7,High,1.22
LANE-012739,France,P7,Air,2025-01,2,High,3.07
LANE-015292,Thailand,P4,Ocean,2025-02,26,Low,0.78
LANE-011089,Vietnam,P11,Truck,2025-01,4,Low,0.88
LANE-004568,Poland,P1,Truck,2026-02,6,Medium,0.98
LANE-009368,Italy,P12,Ocean,2026-06,26,Low,0.64
LANE-001305,Mexico,P6,Ocean,2025-07,27,Low,
LANE-001061,Mexico,P3,Rail,2025-05,13,Low,1.24
LANE-004616,Poland,P1,Ocean,2026-06,34,Medium,0.59
LANE-010993,Vietnam,P9,Ocean,2026-03,32,Low,0.5
LANE-014962,Czech Republic,P12,Truck,2025-02,5,Low,1.57
LANE-002779,China,P2,Truck,2025-07,5,Medium,
LANE-000531,United States,P8,Truck,2025-03,5,High,0.97
LANE-000420,United States,P6,Air,2025-02,2,Low,2.6
LANE-013541,Spain,P6,Truck,2025-11,5,Low,1.08
LANE-015992,Thailand,P12,Air,2026-08,4,Low,3.84
LANE-004010,India,P6,Truck,2025-06,5,Low,1.36
LANE-005053,Poland,P7,Truck,2026-03,3,Low,1.43
LANE-008194,South Korea,P9,Air,2025-10,3,Low,2.31
LANE-009899,Turkey,P7,Truck,2026-09,5,High,0.95
LANE-014990,Czech Republic,P12,Rail,2025-08,13,Medium,0.94
LANE-008294,South Korea,P10,Air,2026-10,3,High,3.92
LANE-005591,Brazil,P2,Truck,2025-03,5,Low,0.96
LANE-014307,Czech Republic,P3,Ocean,2025-07,30,Medium,
LANE-013360,Spain,P3,Air,2025-06,3,High,2.13
LANE-004189,India,P8,Truck,2025-09,5,Low,0.95
LANE-016219,United Kingdom,P3,Air,2025-05,3,Low,2.74
LANE-006736,Japan,P4,Truck,2025-04,6,Low,1.58
LANE-003447,China,P10,Truck,2026-03,5,Medium,0.98
LANE-009487,Turkey,P2,Rail,2025-05,12,Medium,0.64
LANE-005914,Brazil,P5,Air,2026-06,2,Low,3.27
LANE-002525,Germany,P10,Ocean,2026-05,30,Low,0.68
LANE-014789,Czech Republic,P9,Air,2025-05,2,Medium,2.25
LANE-003753,India,P2,Rail,2026-01,11,Low,0.94
LANE-014634,Czech Republic,P8,Truck,2025-04,5,Medium,1.56
LANE-014393,Czech Republic,P5,Truck,2025-05,2,Low,
LANE-009124,Italy,P9,Truck,2026-04,4,Low,1.33
LANE-014140,Czech Republic,P1,Ocean,2026-04,24,Low,0.61
LANE-006663,Japan,P3,Truck,2026-07,4,Low,1.15
LANE-013197,Spain,P1,Ocean,2026-07,31,Low,0.64
LANE-013986,Spain,P11,Ocean,2026-04,27,Low,0.68
LANE-010589,Vietnam,P4,Ocean,2025-07,24,Low,0.63
LANE-009522,Turkey,P2,Ocean,2026-06,19,Medium,0.88
LANE-008171,South Korea,P9,Ocean,2025-09,25,Medium,0.46
LANE-009759,Turkey,P5,Ocean,2026-01,30,Low,0.64
LANE-005964,Brazil,P6,Ocean,2025-02,26,Low,0.5
LANE-007167,Japan,P8,Air,2026-05,3,High,3.61
LANE-015031,Czech Republic,P12,Air,2025-05,3,Low,4.07
LANE-007560,South Korea,P2,Truck,2026-02,6,Low,1.55
LANE-000876,United States,P12,Air,2026-06,3,Low,3.05
LANE-007904,South Korea,P6,Rail,2025-06,10,Low,1.24
LANE-004880,Poland,P4,Air,2026-06,4,Medium,3.23
LANE-016922,United Kingdom,P12,Rail,2025-04,13,Medium,1.15
LANE-007753,South Korea,P4,Ocean,2025-09,26,Medium,0.55
LANE-011762,Canada,P7,Rail,2026-02,13,Low,0.9
LANE-016174,United Kingdom,P3,Rail,2025-04,11,Low,0.73
LANE-012858,France,P9,Truck,2025-10,5,Low,1.46
LANE-014397,Czech Republic,P5,Truck,2025-09,4,Low,1.46
LANE-009267,Italy,P11,Rail,2025-05,12,Low,
LANE-016610,United Kingdom,P8,Rail,2026-10,14,Medium,0.83
LANE-009782,Turkey,P5,Air,2026-02,3,High,3.1
LANE-015945,Thailand,P12,Rail,2026-05,8,Medium,1.27
LANE-006326,Brazil,P10,Air,2025-12,3,Low,2.45
LANE-001671,Mexico,P10,Air,2026-09,3,Low,2.95
LANE-003291,China,P7,Air,2026-01,2,Low,3.13
LANE-014964,Czech Republic,P12,Truck,2025-04,3,Low,1.16
LANE-013556,Spain,P6,Rail,2025-04,9,Low,1.07
LANE-005195,Poland,P8,Air,2025-03,2,Medium,
LANE-009689,Turkey,P4,Ocean,2025-09,26,Medium,0.67
LANE-013708,Spain,P8,Rail,2025-02,12,Low,0.95
LANE-007070,Japan,P7,Air,2025-08,2,Low,2.66
LANE-007338,Japan,P11,Truck,2025-12,6,Low,1.27
LANE-009452,Turkey,P1,Air,2026-02,2,High,3.83
LANE-014872,Czech Republic,P10,Ocean,2026-10,26,Medium,0.47
LANE-012676,France,P7,Truck,2025-04,6,Medium,0.88
LANE-010411,Vietnam,P2,Truck,2025-05,4,Low,1.13
LANE-014932,Czech Republic,P11,Rail,2026-04,9,Low,1.19
LANE-012520,France,P4,Air,2025-02,1,High,3.12
LANE-002131,Germany,P5,Truck,2026-07,1,Low,1.37
LANE-012314,France,P1,Air,2026-04,2,Medium,
LANE-004919,Poland,P5,Rail,2026-01,8,Medium,1.03
LANE-002625,Germany,P12,Truck,2025-07,2,High,0.99
LANE-013322,Spain,P3,Rail,2025-12,11,Low,1.17
LANE-001999,Germany,P3,Truck,2026-07,5,Medium,0.99
LANE-003106,China,P5,Air,2025-04,3,Low,4.04
LANE-001972,Germany,P2,Ocean,2026-02,31,Low,0.45
LANE-002142,Germany,P5,Rail,2025-08,11,Low,0.85
LANE-012543,France,P5,Truck,2025-03,5,Medium,
LANE-007252,Japan,P10,Truck,2026-02,4,High,1.15
LANE-010049,Turkey,P9,Rail,2026-05,13,Medium,0.74
LANE-013213,Spain,P2,Truck,2026-01,6,Low,1.44
LANE-009978,Turkey,P8,Rail,2025-12,11,Low,1.13
LANE-003852,India,P4,Truck,2025-02,5,Medium,1.0
LANE-007540,South Korea,P1,Ocean,2026-04,23,Low,0.78
LANE-003247,China,P7,Rail,2026-01,12,Medium,0.68
LANE-012031,Canada,P10,Ocean,2026-07,34,Medium,0.46
LANE-001203,Mexico,P5,Rail,2026-03,11,Medium,1.27
LANE-014915,Czech Republic,P11,Truck,2026-09,5,Medium,0.93
LANE-009439,Turkey,P1,Air,2025-01,2,High,
LANE-005102,Poland,P7,Ocean,2026-08,31,Low,0.52
LANE-004546,India,P12,Air,2026-02,3,Medium,3.34
LANE-002025,Germany,P3,Ocean,2025-01,22,Medium,0.74
LANE-016792,United Kingdom,P10,Ocean,2025-06,26,Low,0.86
LANE-007168,Japan,P8,Air,2026-06,2,High,
LANE-007140,Japan,P8,Ocean,2025-12,31,Low,0.86
LANE-001602,Mexico,P10,Truck,2026-06,5,Low,1.27
LANE-016724,United Kingdom,P9,Air,2025-04,3,Medium,2.21
LANE-010347,Vietnam,P1,Rail,2025-07,13,Low,0.82
LANE-011366,Canada,P2,Ocean,2026-02,26,Medium,0.56
LANE-003430,China,P9,Ocean,2026-08,32,Low,0.76
LANE-000712,United States,P10,Rail,2025-08,12,Low,0.82
LANE-008870,Italy,P6,Truck,2025-04,4,Medium,1.32
LANE-014459,Czech Republic,P5,Air,2025-05,2,Low,3.12
LANE-003630,China,P12,Ocean,2026-10,28,Medium,0.84
LANE-013581,Spain,P6,Ocean,2025-07,30,Low,0.73
LANE-002420,Germany,P9,Truck,2026-10,6,Medium,1.52
LANE-001480,Mexico,P8,Air,2025-06,2,Low,3.23
LANE-010997,Vietnam,P9,Ocean,2026-07,29,Low,0.49
LANE-007592,South Korea,P2,Ocean,2025-02,23,Low,0.46
LANE-001721,Mexico,P11,Ocean,2025-05,23,High,0.7
LANE-005452,Poland,P12,Rail,2026-06,11,Low,0.95
LANE-000038,United States,P1,Rail,2026-04,6,Low,1.13
LANE-006114,Brazil,P8,Rail,2026-08,14,Low,0.83
LANE-009435,Turkey,P1,Ocean,2026-07,31,Low,0.59
LANE-003493,China,P10,Ocean,2026-05,26,Low,0.87
LANE-010318,Turkey,P12,Ocean,2026-10,29,Low,0.57
LANE-008519,Italy,P1,Ocean,2025-05,27,High,0.63
LANE-013848,Spain,P9,Air,2025-10,3,Low,3.57
LANE-012212,Canada,P12,Air,2025-02,2,Medium,3.03
LANE-014026,Spain,P12,Rail,2025-12,12,Low,0.98
LANE-014564,Czech Republic,P7,Truck,2026-10,5,Low,0.9
LANE-010253,Turkey,P12,Truck,2025-01,3,Low,1.38
LANE-012323,France,P2,Truck,2025-03,5,Medium,1.15
LANE-011979,Canada,P10,Truck,2025-11,5,Medium,0.89
LANE-015530,Thailand,P7,Rail,2026-08,8,Low,0.84
LANE-002038,Germany,P3,Ocean,2026-02,28,Medium,0.61
LANE-000780,United States,P11,Rail,2025-10,8,Low,1.2
LANE-007655,South Korea,P3,Truck,2026-09,4,Low,0.8
LANE-007295,Japan,P10,Ocean,2026-01,25,Low,0.77
LANE-005759,Brazil,P3,Air,2026-05,3,Medium,4.1
LANE-007298,Japan,P10,Ocean,2026-04,21,Low,0.53
LANE-013131,France,P12,Ocean,2026-07,29,High,0.73
LANE-008700,Italy,P3,Air,2025-10,3,High,3.87
LANE-011493,Canada,P4,Rail,2025-09,10,Medium,1.05
LANE-002961,China,P4,Truck,2026-01,4,Low,1.57
LANE-010900,Vietnam,P8,Rail,2025-10,11,Low,0.75
LANE-007191,Japan,P9,Truck,2026-07,5,High,0.95
LANE-006585,Japan,P2,Truck,2025-07,4,Medium,1.58
LANE-014838,Czech Republic,P10,Rail,2025-10,11,Low,0.74
LANE-001251,Mexico,P5,Air,2026-07,2,High,2.82
LANE-012084,Canada,P11,Rail,2025-06,14,Low,0.85
LANE-010764,Vietnam,P6,Ocean,2025-06,20,Low,0.87
LANE-009683,Turkey,P4,Ocean,2025-03,20,Medium,0.67
LANE-007955,South Korea,P6,Air,2026-01,3,Low,2.73
LANE-012954,France,P10,Truck,2026-06,6,Medium,1.4
LANE-008145,South Korea,P9,Rail,2025-05,10,High,0.99
LANE-016770,United Kingdom,P10,Rail,2025-06,8,Medium,0.72
LANE-008269,South Korea,P10,Ocean,2026-07,21,Low,0.65
LANE-008934,Italy,P6,Air,2025-02,3,Low,3.32
LANE-012725,France,P7,Ocean,2025-09,21,Low,
LANE-012059,Canada,P11,Truck,2025-03,4,Medium,1.47
LANE-002871,China,P3,Truck,2025-11,4,High,0.9
LANE-003765,India,P2,Ocean,2025-03,25,Low,0.46
LANE-004061,India,P6,Ocean,2026-01,34,Medium,0.47
LANE-003093,China,P5,Ocean,2026-01,24,Medium,0.53
LANE-015654,Thailand,P8,Air,2025-12,2,Low,2.39
LANE-001644,Mexico,P10,Ocean,2026-04,26,Low,0.88
LANE-010519,Vietnam,P3,Ocean,2025-03,20,Low,0.85
LANE-008745,Italy,P4,Rail,2025-11,13,Low,1.26
LANE-015146,Thailand,P2,Rail,2025-10,12,Low,0.9
LANE-000667,United States,P9,Air,2025-07,2,Low,3.94
LANE-015796,Thailand,P10,Rail,2026-10,12,High,0.69
LANE-014091,Czech Republic,P1,Truck,2025-11,4,Low,1.45
LANE-014443,Czech Republic,P5,Ocean,2025-11,30,High,0.63
LANE-002636,Germany,P12,Truck,2026-06,3,High,1.4
LANE-001171,Mexico,P5,Truck,2025-05,5,Low,
LANE-013000,France,P10,Ocean,2026-08,26,Low,0.64
LANE-005328,Poland,P11,Truck,2025-04,4,Low,0.85
LANE-003713,India,P1,Air,2026-05,3,Low,3.33
LANE-012670,France,P6,Ocean,2026-08,32,Medium,0.78
LANE-010174,Turkey,P11,Truck,2025-10,4,Low,1.44
LANE-010238,Turkey,P11,Air,2025-08,3,High,2.82
LANE-008749,Italy,P4,Rail,2026-03,12,Low,0.92
LANE-005979,Brazil,P6,Ocean,2026-05,19,Low,0.74
LANE-006846,Japan,P5,Rail,2025-04,9,Low,0.65
LANE-000355,United States,P6,Truck,2025-03,4,Low,0.97
LANE-010661,Vietnam,P5,Rail,2026-01,11,Low,0.84
LANE-012253,France,P1,Truck,2026-09,4,Medium,0.88
LANE-002978,China,P4,Rail,2025-08,15,Medium,0.87
LANE-006957,Japan,P6,Ocean,2025-05,31,Low,0.79
LANE-001145,Mexico,P4,Ocean,2025-01,27,Low,0.6
LANE-002895,China,P3,Rail,2026-01,10,Medium,
LANE-006216,Brazil,P9,Ocean,2025-12,23,Low,0.76
LANE-000373,United States,P6,Truck,2026-09,5,Low,1.22
LANE-013128,France,P12,Ocean,2026-04,23,High,
LANE-014525,Czech Republic,P6,Ocean,2025-05,29,Medium,0.53
LANE-001482,Mexico,P8,Air,2025-08,2,Low,3.8
LANE-012305,France,P1,Air,2025-07,2,Medium,3.13
LANE-015915,Thailand,P12,Truck,2025-09,5,High,1.25
LANE-006513,Japan,P1,Rail,2025-01,14,Low,1.19
LANE-007194,Japan,P9,Truck,2026-10,5,High,1.54
LANE-013292,Spain,P3,Truck,2025-04,5,Low,1.19
LANE-000508,United States,P7,Air,2025-02,2,Medium,
LANE-003188,China,P6,Ocean,2026-08,23,Medium,0.76
LANE-000874,United States,P12,Air,2026-04,3,Low,3.06
LANE-012060,Canada,P11,Truck,2025-04,5,Medium,0.93
LANE-016264,United Kingdom,P4,Rail,2025-06,11,Low,1.1
LANE-013139,Spain,P1,Truck,2025-05,4,High,1.52
LANE-013822,Spain,P9,Ocean,2025-06,20,Medium,0.72
LANE-008492,Italy,P1,Truck,2026-10,5,Medium,1.19
LANE-013796,Spain,P9,Rail,2025-02,10,Low,1.25
LANE-005696,Brazil,P3,Truck,2026-08,5,Low,1.18
LANE-002890,China,P3,Rail,2025-08,13,Medium,1.15
LANE-000241,United States,P4,Rail,2026-09,11,Low,1.25
LANE-013157,Spain,P1,Rail,2025-01,8,Medium,0.86
LANE-014760,Czech Republic,P9,Rail,2026-08,11,Low,0.74
LANE-009213,Italy,P10,Rail,2026-05,13,Medium,0.87
LANE-006954,Japan,P6,Ocean,2025-02,23,Low,0.84
LANE-006030,Brazil,P7,Rail,2025-02,8,Low,1.26
LANE-000958,Mexico,P2,Truck,2025-12,4,High,
LANE-008818,Italy,P5,Rail,2026-06,14,Low,0.8
LANE-015756,Thailand,P10,Truck,2025-04,5,Low,1.09
LANE-015857,Thailand,P11,Rail,2026-05,14,Low,0.83
LANE-007603,South Korea,P2,Ocean,2026-01,30,Low,0.69
LANE-003686,India,P1,Ocean,2025-12,29,Low,0.69
LANE-015695,Thailand,P9,Rail,2025-09,12,Low,0.84
LANE-012339,France,P2,Truck,2026-07,4,Medium,1.39
LANE-003026,China,P4,Air,2025-12,2,Medium,4.14
LANE-004675,Poland,P2,Ocean,2025-11,23,Low,0.87
LANE-008855,Italy,P5,Air,2025-11,3,Low,3.52
LANE-005153,Poland,P8,Rail,2025-05,11,Low,0.97
LANE-009067,Italy,P8,Rail,2025-03,12,Medium,1.26
LANE-006297,Brazil,P10,Ocean,2025-05,24,Medium,0.52
LANE-004891,Poland,P5,Truck,2025-07,3,High,1.58
LANE-002141,Germany,P5,Rail,2025-07,9,Low,
LANE-016566,United Kingdom,P7,Air,2026-10,2,Medium,2.15
LANE-002699,Germany,P12,Air,2026-03,2,Low,3.91
LANE-015432,Thailand,P6,Rail,2025-10,11,Low,0.83
LANE-007798,South Korea,P5,Truck,2025-10,5,Low,1.42
LANE-015868,Thailand,P11,Ocean,2025-06,36,High,0.86
LANE-001729,Mexico,P11,Ocean,2026-01,21,High,0.8
LANE-013930,Spain,P11,Truck,2025-04,4,Low,0.91
LANE-013992,Spain,P11,Ocean,2026-10,31,Low,0.49
LANE-010745,Vietnam,P6,Rail,2025-09,10,Medium,0.77
LANE-001969,Germany,P2,Ocean,2025-11,32,Low,0.79
LANE-001684,Mexico,P11,Truck,2025-12,4,Low,1.05
LANE-013840,Spain,P9,Air,2025-02,3,Low,3.64
LANE-002146,Germany,P5,Rail,2025-12,8,Low,0.81
LANE-013396,Spain,P4,Truck,2026-08,5,Low,1.06
LANE-012755,France,P7,Air,2026-05,3,High,2.89
LANE-001605,Mexico,P10,Truck,2026-09,4,Low,1.46
LANE-004206,India,P8,Rail,2025-04,11,Medium,1.03
LANE-010020,Turkey,P9,Truck,2025-10,5,High,1.19
LANE-005724,Brazil,P3,Ocean,2025-04,29,Medium,0.67
LANE-005263,Poland,P9,Ocean,2025-05,27,Medium,0.46
LANE-005924,Brazil,P6,Truck,2025-06,4,Low,1.05
LANE-000767,United States,P11,Truck,2026-07,1,Medium,1.05
LANE-007758,South Korea,P4,Ocean,2026-02,25,Medium,0.61
LANE-005094,Poland,P7,Ocean,2025-12,24,Low,0.5
LANE-012695,France,P7,Rail,2025-01,10,Low,1.22
LANE-011065,Vietnam,P10,Ocean,2026-09,25,Medium,0.72
LANE-004551,India,P12,Air,2026-07,2,Medium,3.82
LANE-002934,China,P3,Air,2025-08,1,High,4.15
LANE-015521,Thailand,P7,Rail,2025-11,11,Low,0.65
LANE-010470,Vietnam,P2,Ocean,2026-08,27,Low,0.84
LANE-004137,India,P7,Ocean,2025-01,26,Low,0.46
LANE-008287,South Korea,P10,Air,2026-03,3,High,2.27
LANE-010391,Vietnam,P1,Air,2025-07,3,Medium,2.86
LANE-001515,Mexico,P9,Truck,2026-07,5,Low,1.38
LANE-003472,China,P10,Rail,2026-06,13,Low,0.97
LANE-009895,Turkey,P7,Truck,2026-05,4,High,1.4
LANE-011937,Canada,P9,Ocean,2026-01,26,High,0.67
LANE-004443,India,P11,Rail,2026-09,16,Low,1.06
LANE-006058,Brazil,P7,Air,2025-08,1,High,2.1
LANE-010355,Vietnam,P1,Rail,2026-03,11,Low,1.05
LANE-010607,Vietnam,P4,Air,2025-03,3,Medium,2.53
LANE-011648,Canada,P6,Truck,2025-10,5,Low,1.13
LANE-008730,Italy,P4,Truck,2026-06,4,Medium,1.14
LANE-004246,India,P8,Ocean,2026-10,29,Low,0.55
LANE-010502,Vietnam,P3,Rail,2025-08,12,Low,0.73
LANE-006711,Japan,P3,Air,2025-01,3,Low,2.52
LANE-014747,Czech Republic,P9,Rail,2025-07,11,Low,0.91
LANE-013267,Spain,P2,Air,2025-01,3,Low,2.86
LANE-015062,Thailand,P1,Truck,2026-02,4,Medium,0.81
LANE-006948,Japan,P6,Rail,2026-06,9,Medium,0.99
LANE-010056,Turkey,P9,Ocean,2025-02,30,Low,0.86
LANE-015222,Thailand,P3,Rail,2026-08,8,Low,0.84
LANE-008683,Italy,P3,Ocean,2026-03,35,High,0.47
LANE-000159,United States,P3,Ocean,2025-05,27,Medium,0.68
LANE-001365,Mexico,P7,Rail,2025-01,14,High,0.75
LANE-007837,South Korea,P5,Ocean,2025-05,35,Medium,0.66
LANE-005276,Poland,P9,Ocean,2026-06,27,Medium,0.5
LANE-010731,Vietnam,P6,Truck,2026-05,5,Low,1.28
LANE-012493,France,P4,Truck,2026-07,1,Low,
LANE-000651,United States,P9,Ocean,2026-01,34,Medium,0.74
LANE-008203,South Korea,P9,Air,2026-07,3,Low,
LANE-001784,Mexico,P12,Rail,2025-02,8,High,1.01
LANE-008682,Italy,P3,Ocean,2026-02,28,High,0.79
LANE-016538,United Kingdom,P7,Ocean,2026-04,28,High,0.77
LANE-011583,Canada,P5,Rail,2025-11,12,Low,0.78
LANE-006376,Brazil,P11,Rail,2026-06,12,Low,0.85
LANE-013558,Spain,P6,Rail,2025-06,11,Low,1.02
LANE-013676,Spain,P7,Ocean,2026-02,24,High,0.69
LANE-012187,Canada,P12,Rail,2026-09,13,Low,0.74
LANE-009558,Turkey,P3,Truck,2025-10,5,Medium,1.05
LANE-013276,Spain,P2,Air,2025-10,2,Low,3.79
LANE-007453,Japan,P12,Ocean,2026-05,28,Low,0.71
LANE-011373,Canada,P2,Ocean,2026-09,25,Medium,0.83
LANE-009218,Italy,P10,Rail,2026-10,8,Medium,0.74
LANE-006931,Japan,P6,Rail,2025-01,11,Medium,0.8
LANE-009256,Italy,P11,Truck,2026-04,4,Low,1.08
LANE-005246,Poland,P9,Rail,2025-10,8,Low,1.26
LANE-011315,Canada,P2,Truck,2025-07,3,Low,1.43
LANE-005737,Brazil,P3,Ocean,2026-05,26,Medium,0.68
LANE-000448,United States,P7,Truck,2025-08,4,High,1.23
LANE-000722,United States,P10,Rail,2026-06,13,Low,0.71
LANE-007946,South Korea,P6,Air,2025-04,2,Low,2.99
LANE-002917,China,P3,Ocean,2026-01,30,Low,0.62
LANE-016008,United Kingdom,P1,Truck,2026-02,4,Low,1.52
LANE-011200,Vietnam,P12,Rail,2025-02,11,High,1.15
LANE-003992,India,P5,Air,2025-10,3,Low,3.8
LANE-014680,Czech Republic,P8,Ocean,2025-06,31,Medium,0.83
LANE-008061,South Korea,P8,Rail,2025-09,12,High,1.03
LANE-012971,France,P10,Rail,2026-01,9,Medium,0.71
LANE-003014,China,P4,Ocean,2026-10,24,Low,0.54
LANE-010531,Vietnam,P3,Ocean,2026-03,32,Low,0.64
LANE-004872,Poland,P4,Air,2025-10,3,Medium,4.11
LANE-011385,Canada,P2,Air,2025-11,2,Low,2.99
LANE-001924,Germany,P2,Truck,2025-10,5,Low,1.36
LANE-013103,France,P12,Rail,2026-01,11,Low,1.15
LANE-016377,United Kingdom,P5,Ocean,2025-09,29,Low,0.54
LANE-013714,Spain,P8,Rail,2025-08,15,Low,0.72
LANE-007860,South Korea,P5,Air,2025-06,2,Medium,3.54
LANE-003738,India,P2,Truck,2026-08,6,Low,0.98
LANE-003918,India,P5,Truck,2025-02,4,Medium,0.96
LANE-007505,South Korea,P1,Rail,2025-03,11,Medium,1.23
LANE-005325,Poland,P11,Truck,2025-01,3,Low,1.58
LANE-011632,Canada,P5,Air,2026-04,3,Low,3.79
LANE-012860,France,P9,Truck,2025-12,5,Low,0.98
LANE-010711,Vietnam,P5,Air,2026-07,3,Medium,2.46
LANE-008931,Italy,P6,Ocean,2026-09,15,Low,
LANE-000808,United States,P12,Truck,2026-04,4,Medium,1.08
LANE-014118,Czech Republic,P1,Rail,2026-04,9,Low,0.9
LANE-002399,Germany,P9,Truck,2025-01,5,Medium,1.11
LANE-006180,Brazil,P9,Truck,2026-08,5,Medium,0.94
LANE-009643,Turkey,P4,Truck,2025-07,4,Low,1.55
LANE-006229,Brazil,P9,Air,2025-03,3,Low,2.92
LANE-003662,India,P1,Rail,2025-10,14,Medium,0.85
LANE-008411,South Korea,P12,Rail,2025-07,10,Low,1.05
LANE-009412,Turkey,P1,Rail,2026-06,10,Medium,0.88
LANE-009353,Italy,P12,Ocean,2025-03,29,Low,0.69
LANE-015517,Thailand,P7,Rail,2025-07,9,Low,0.92
LANE-008268,South Korea,P10,Ocean,2026-06,29,Low,0.76
LANE-010358,Vietnam,P1,Rail,2026-06,12,Low,0.73
LANE-006314,Brazil,P10,Ocean,2026-10,27,Medium,0.83
LANE-014939,Czech Republic,P11,Ocean,2025-01,27,Medium,0.82
LANE-015901,Thailand,P11,Air,2026-05,3,Medium,3.49
LANE-003153,China,P6,Rail,2025-07,12,Medium,0.89
LANE-002632,Germany,P12,Truck,2026-02,5,High,1.31
LANE-005483,Poland,P12,Air,2025-05,3,Low,2.8
LANE-014673,Czech Republic,P8,Rail,2026-09,11,Medium,1.19
LANE-000078,United States,P2,Rail,2025-12,8,Low,
LANE-012707,France,P7,Rail,2026-01,12,Low,0.79
LANE-003701,India,P1,Air,2025-05,3,Low,3.39
LANE-008740,Italy,P4,Rail,2025-06,13,Low,0.66
LANE-002030,Germany,P3,Ocean,2025-06,18,Medium,0.62
LANE-011147,Vietnam,P11,Ocean,2026-03,24,Low,0.53
LANE-016542,United Kingdom,P7,Ocean,2026-08,32,High,0.69
LANE-013772,Spain,P8,Air,2026-10,3,Low,2.48
LANE-003367,China,P9,Truck,2025-01,5,Low,
LANE-012053,Canada,P10,Air,2026-07,2,Low,2.77
LANE-005863,Brazil,P5,Rail,2025-11,10,Medium,
LANE-007053,Japan,P7,Ocean,2026-01,21,High,0.49
LANE-016098,United Kingdom,P2,Truck,2026-04,4,Low,1.27
LANE-006199,Brazil,P9,Rail,2026-05,11,Medium,0.7
LANE-007670,South Korea,P3,Rail,2026-02,10,Medium,1.27
LANE-006177,Brazil,P9,Truck,2026-05,3,Medium,0.95
LANE-001411,Mexico,P8,Truck,2025-03,4,Low,
LANE-010642,Vietnam,P5,Truck,2026-04,4,Low,1.15
LANE-005495,Poland,P12,Air,2026-05,2,Low,3.27
LANE-007716,South Korea,P4,Truck,2026-04,2,Low,1.31
LANE-015615,Thailand,P8,Rail,2026-05,13,Low,0.81
LANE-009853,Turkey,P6,Ocean,2026-07,27,Low,0.61
